i-sweep,v(VG),v(VD),v(Vbias),gmrp,Ipeak_unit,gmron_unit,Ibias_unit,gmbias_unit,Ron_Gm_unit,GmoverId,vswing,Ron_into_Gm_unit,width,length,corner
3e-05,1.2375,0.825,1.12471602,6.31996513e-05,3.65803952e-05,6.40981321e-05,2.9465731e-05,6.15774575e-05,366255202.0,2.08979908,0.112783977,1.38876035,1e-06,4e-06,ss
5e-06,1.65,0.825,0.608222462,2.80656135e-05,6.07013942e-05,4.82780425e-05,5.1198472e-06,2.85194528e-05,476556166.0,5.57037187,1.04177754,0.387611337,1e-06,4e-06,ss
1e-05,1.65,0.825,0.751922484,3.98631993e-05,6.07013942e-05,4.82780425e-05,1.00601631e-05,4.00425947e-05,339416594.0,3.98031267,0.898077516,0.544223753,1e-06,4e-06,ss
1.5e-05,1.65,0.825,0.863169259,4.80595166e-05,6.07013942e-05,4.82780425e-05,1.49644204e-05,4.79526306e-05,283428061.0,3.2044429,0.786830741,0.65173001,1e-06,4e-06,ss
2e-05,1.65,0.825,0.95864761,5.42773302e-05,6.07013942e-05,4.82780425e-05,1.9831099e-05,5.38402463e-05,252434230.0,2.71494012,0.69135239,0.731749307,1e-06,4e-06,ss
2.5e-05,1.65,0.825,1.04481514,5.92053476e-05,6.07013942e-05,4.82780425e-05,2.46694449e-05,5.8314881e-05,233064372.0,2.36385056,0.60518486,0.79256461,1e-06,4e-06,ss
3e-05,1.65,0.825,1.12471602,6.31996513e-05,6.07013942e-05,4.82780425e-05,2.9465731e-05,6.15774575e-05,220715854.0,2.08979908,0.525283977,0.836906683,1e-06,4e-06,ss
5e-06,0.4125,0.4125,0.60822219,2.80655904e-05,1.0554855e-06,1.1534024e-05,5.11983946e-06,2.85194301e-05,13703479000.0,5.57037585,0.19572219,11.1458328,1e-06,4e-06,ss
1e-05,0.4125,0.4125,0.751922484,3.98631993e-05,1.0554855e-06,1.1534024e-05,1.00601631e-05,4.00425947e-05,9759992230.0,3.98031267,0.339422484,15.6492632,1e-06,4e-06,ss
1.5e-05,0.4125,0.4125,0.863169259,4.80595166e-05,1.0554855e-06,1.1534024e-05,1.49644204e-05,4.79526306e-05,8150030730.0,3.2044429,0.450669259,18.7406271,1e-06,4e-06,ss
2e-05,0.4125,0.4125,0.95864761,5.42773302e-05,1.0554855e-06,1.1534024e-05,1.9831099e-05,5.38402463e-05,7258796900.0,2.71494012,0.54614761,21.0415981,1e-06,4e-06,ss
2.5e-05,0.4125,0.4125,1.04481514,5.92053476e-05,1.0554855e-06,1.1534024e-05,2.46694449e-05,5.8314881e-05,6701812740.0,2.36385056,0.63231514,22.7903543,1e-06,4e-06,ss
3e-05,0.4125,0.4125,1.12471602,6.31996513e-05,1.0554855e-06,1.1534024e-05,2.9465731e-05,6.15774575e-05,6346728630.0,2.08979908,0.712216023,24.0654195,1e-06,4e-06,ss
5e-06,0.825,0.4125,0.608222462,2.80656135e-05,1.23750597e-05,3.92049967e-05,5.1198472e-06,2.85194528e-05,1168787240.0,5.57037187,0.216777538,0.950643845,1e-06,4e-06,ss
1e-05,0.825,0.4125,0.751922484,3.98631993e-05,1.23750597e-05,3.92049967e-05,1.00601631e-05,4.00425947e-05,832442876.0,3.98031267,0.0730775161,1.33474672,1e-06,4e-06,ss
1.5e-05,0.825,0.4125,0.863169259,4.80595166e-05,1.23750597e-05,3.92049967e-05,1.49644204e-05,4.79526306e-05,695127091.0,3.2044429,0.0381692594,1.59841331,1e-06,4e-06,ss
2e-05,0.825,0.4125,0.95864761,5.42773302e-05,1.23750597e-05,3.92049967e-05,1.9831099e-05,5.38402463e-05,619112559.0,2.71494012,0.13364761,1.79466622,1e-06,4e-06,ss
2.5e-05,0.825,0.4125,1.04481514,5.92053476e-05,1.23750597e-05,3.92049967e-05,2.46694449e-05,5.8314881e-05,571606630.0,2.36385056,0.21981514,1.94382,1e-06,4e-06,ss
3e-05,0.825,0.4125,1.12471602,6.31996513e-05,1.23750597e-05,3.92049967e-05,2.9465731e-05,6.15774575e-05,541321028.0,2.08979908,0.299716023,2.05257202,1e-06,4e-06,ss
5e-06,1.2375,0.4125,0.608222462,2.80656135e-05,2.7107646e-05,3.01159263e-05,5.1198472e-06,2.85194528e-05,533569454.0,5.57037187,0.629277538,0.433983619,1e-06,4e-06,ss
1e-05,1.2375,0.4125,0.751922484,3.98631993e-05,2.7107646e-05,3.01159263e-05,1.00601631e-05,4.00425947e-05,380023048.0,3.98031267,0.485577516,0.609332523,1e-06,4e-06,ss
1.5e-05,1.2375,0.4125,0.863169259,4.80595166e-05,2.7107646e-05,3.01159263e-05,1.49644204e-05,4.79526306e-05,317336269.0,3.2044429,0.374330741,0.729700401,1e-06,4e-06,ss
2e-05,1.2375,0.4125,0.95864761,5.42773302e-05,2.7107646e-05,3.01159263e-05,1.9831099e-05,5.38402463e-05,282634459.0,2.71494012,0.27885239,0.819292889,1e-06,4e-06,ss
2.5e-05,1.2375,0.4125,1.04481514,5.92053476e-05,2.7107646e-05,3.01159263e-05,2.46694449e-05,5.8314881e-05,260947268.0,2.36385056,0.19268486,0.887383894,1e-06,4e-06,ss
3e-05,1.2375,0.4125,1.12471602,6.31996513e-05,2.7107646e-05,3.01159263e-05,2.9465731e-05,6.15774575e-05,247121422.0,2.08979908,0.112783977,0.937030876,1e-06,4e-06,ss
5e-06,1.65,0.4125,0.608222462,2.80656135e-05,3.70135612e-05,1.83043226e-05,5.1198472e-06,2.85194528e-05,390770609.0,5.57037187,1.04177754,0.317836866,1e-06,4e-06,ss
1e-05,1.65,0.4125,0.751922484,3.98631993e-05,3.70135612e-05,1.83043226e-05,1.00601631e-05,4.00425947e-05,278317728.0,3.98031267,0.898077516,0.446257257,1e-06,4e-06,ss
1.5e-05,1.65,0.4125,0.863169259,4.80595166e-05,3.70135612e-05,1.83043226e-05,1.49644204e-05,4.79526306e-05,232407770.0,3.2044429,0.786830741,0.534411159,1e-06,4e-06,ss
2e-05,1.65,0.4125,0.95864761,5.42773302e-05,3.70135612e-05,1.83043226e-05,1.9831099e-05,5.38402463e-05,206993183.0,2.71494012,0.69135239,0.600026068,1e-06,4e-06,ss
2.5e-05,1.65,0.4125,1.04481514,5.92053476e-05,3.70135612e-05,1.83043226e-05,2.46694449e-05,5.8314881e-05,191110121.0,2.36385056,0.60518486,0.649893922,1e-06,4e-06,ss
3e-05,1.65,0.4125,1.12471602,6.31996513e-05,3.70135612e-05,1.83043226e-05,2.9465731e-05,6.15774575e-05,180984477.0,2.08979908,0.525283977,0.686253914,1e-06,4e-06,ss
